"vorname","anzahl","geschlecht","Kiez","year"
"Marie",122,"w","Charlottenburg-Wilmersdorf",2012
"Sophie",105,"w","Charlottenburg-Wilmersdorf",2012
"Charlotte",78,"w","Charlottenburg-Wilmersdorf",2012
"Maria",69,"w","Charlottenburg-Wilmersdorf",2012
"Paul",66,"m","Charlottenburg-Wilmersdorf",2012
"Emilia",61,"w","Charlottenburg-Wilmersdorf",2012
"Maximilian",59,"m","Charlottenburg-Wilmersdorf",2012
"Elias",55,"m","Charlottenburg-Wilmersdorf",2012
"Luise",54,"w","Charlottenburg-Wilmersdorf",2012
"Alexander",53,"m","Charlottenburg-Wilmersdorf",2012
"Anna",52,"w","Charlottenburg-Wilmersdorf",2012
"Jakob",51,"m","Charlottenburg-Wilmersdorf",2012
"Anton",49,"m","Charlottenburg-Wilmersdorf",2012
"Emma",45,"w","Charlottenburg-Wilmersdorf",2012
"Johanna",45,"w","Charlottenburg-Wilmersdorf",2012
"David",44,"m","Charlottenburg-Wilmersdorf",2012
"Noah",43,"m","Charlottenburg-Wilmersdorf",2012
"Felix",42,"m","Charlottenburg-Wilmersdorf",2012
"Leon",41,"m","Charlottenburg-Wilmersdorf",2012
"Elisabeth",39,"w","Charlottenburg-Wilmersdorf",2012
"Jonathan",39,"m","Charlottenburg-Wilmersdorf",2012
"Mia",39,"w","Charlottenburg-Wilmersdorf",2012
"Sophia",39,"w","Charlottenburg-Wilmersdorf",2012
"Emil",38,"m","Charlottenburg-Wilmersdorf",2012
"Oskar",35,"m","Charlottenburg-Wilmersdorf",2012
"Helene",34,"w","Charlottenburg-Wilmersdorf",2012
"Benjamin",33,"m","Charlottenburg-Wilmersdorf",2012
"Jonas",33,"m","Charlottenburg-Wilmersdorf",2012
"Ben",31,"m","Charlottenburg-Wilmersdorf",2012
"Elisa",27,"w","Charlottenburg-Wilmersdorf",2012
"Luisa",26,"w","Charlottenburg-Wilmersdorf",2012
"Hannah",25,"w","Charlottenburg-Wilmersdorf",2012
"Friedrich",25,"m","Charlottenburg-Wilmersdorf",2012
"Laura",25,"w","Charlottenburg-Wilmersdorf",2012
"Moritz",25,"m","Charlottenburg-Wilmersdorf",2012
"Marlene",25,"w","Charlottenburg-Wilmersdorf",2012
"Theodor",25,"m","Charlottenburg-Wilmersdorf",2012
"Valentin",25,"m","Charlottenburg-Wilmersdorf",2012
"Vincent",25,"m","Charlottenburg-Wilmersdorf",2012
"Clara",24,"w","Charlottenburg-Wilmersdorf",2012
"Julian",24,"m","Charlottenburg-Wilmersdorf",2012
"Leonard",24,"m","Charlottenburg-Wilmersdorf",2012
"Helena",23,"w","Charlottenburg-Wilmersdorf",2012
"Lina",23,"w","Charlottenburg-Wilmersdorf",2012
"Samuel",23,"m","Charlottenburg-Wilmersdorf",2012
"Victoria",22,"w","Charlottenburg-Wilmersdorf",2012
"Johann",22,"m","Charlottenburg-Wilmersdorf",2012
"Levi",22,"m","Charlottenburg-Wilmersdorf",2012
"Lukas",22,"m","Charlottenburg-Wilmersdorf",2012
"Isabella",21,"w","Charlottenburg-Wilmersdorf",2012
